0	1	0	1	0	0	0	1	0	1	0	0	1	-0.56136323207	-0.502445171436
1	1	0	0	1	1	0	0	1	0	1	0	0	0.613181832266	0.786845293588
1	0	0	1	0	0	0	1	1	0	0	0	1	-0.267726965986	-0.488854257585
1	1	0	0	1	0	0	1	1	0	1	0	0	0.392954632703	0.420730236069
0	0	0	1	0	0	0	1	0	1	0	0	1	0.392954632703	-0.486337421687
0	0	0	1	0	0	1	0	0	1	0	0	1	-0.427101530014	-0.478116428909
0	0	0	0	1	0	0	1	0	1	1	0	0	1.7877268966	0.395813560675
0	3	1	1	0	0	0	1	0	1	0	0	1	-2.02954456249	-0.224083121082
1	0	2	1	0	0	0	1	1	0	0	0	1	-0.194317899465	-0.424256140685
1	1	0	1	0	1	0	0	1	0	0	1	0	-1.14863576424	-0.0429555020886
1	1	1	0	1	0	0	1	1	0	0	0	1	-1.88272642945	-0.312172377523
1	0	0	0	1	0	0	1	1	0	1	0	0	2.08136316269	-0.113845708735
0	0	0	1	0	0	0	1	0	1	0	0	1	-0.708181365112	-0.486337421687
0	1	5	1	0	0	0	1	0	1	0	0	1	0.686590898787	-0.0187093117785
0	0	0	1	0	0	0	1	1	0	0	0	1	-1.14863576424	-0.490279793438
1	0	0	1	0	0	0	1	1	0	0	1	0	1.86113596312	-0.326266658554
0	4	1	1	0	0	1	0	0	1	0	0	1	-2.02954456249	-0.0619988892297
1	0	0	1	0	0	0	1	0	1	0	1	0	0.177608625875	-0.386670720113
0	1	0	1	0	0	0	1	1	0	0	0	1	0.0993183666193	-0.28599728418
1	0	0	1	0	1	0	0	1	0	0	0	1	-0.00945881067615	-0.502948538616
0	0	0	1	0	0	0	1	0	1	0	1	0	0.392954632703	-0.124919786688
1	0	0	0	1	0	0	1	0	1	0	1	0	0.319545566182	-0.386670720113
1	0	0	1	0	0	1	0	1	0	0	0	1	-1.07522669772	-0.48675622318
1	0	0	0	1	0	0	1	0	1	1	0	0	-0.120908832944	0.0663597415848
0	3	1	1	0	0	0	1	1	0	0	0	1	-1.58909016336	-0.224083121082
1	1	5	1	0	0	0	1	1	0	0	0	1	0.613181832266	-0.01644415947
0	0	0	1	0	1	0	0	0	1	0	0	1	-0.00945881067615	-0.502948538616
0	3	2	0	1	0	0	1	0	1	1	0	0	-0.781590431633	4.64700107653
1	0	0	1	0	0	1	0	1	0	0	0	1	-0.533459474035	-0.489776426258
0	0	0	1	0	0	0	1	0	1	0	0	1	-0.124784379241	-0.489442190451
0	0	0	1	0	1	0	0	0	1	1	0	0	0.759999965308	-0.0902720169771
1	1	0	0	1	1	0	0	1	0	1	0	0	0.474356592579	2.30172882079
1	0	0	1	0	0	1	0	1	0	0	0	1	0.414670818349	-0.492377827843
0	0	0	1	0	0	0	1	0	1	0	1	0	2.66863569485	-0.43700743808
0	1	0	1	0	1	0	0	0	1	1	0	0	-0.120908832944	1.00606170033
0	1	0	1	0	0	0	1	0	1	1	0	0	0.90681809835	0.398582080163
1	0	0	1	0	1	0	0	0	1	0	0	1	-0.497034363352	-0.50286397293
0	0	0	1	0	0	0	1	0	1	0	0	1	-0.634772298591	-0.486337421687
0	2	0	1	0	0	0	1	1	0	0	0	1	-0.854999498154	-0.28599728418
1	1	0	1	0	1	0	0	1	0	0	0	1	-1.14863576424	-0.422073540594
0	1	0	1	0	0	0	1	1	0	0	0	1	0.759999965308	-0.457645492446
0	1	0	1	0	0	0	1	1	0	0	1	0	-0.194317899465	-0.225593222621
0	0	0	1	0	1	0	0	0	1	0	0	1	-0.124784379241	-0.489442190451
1	1	2	1	0	1	0	0	1	0	0	1	0	-1.95613549597	0.188762531929
1	0	0	1	0	0	1	0	1	0	0	0	1	-0.781590431633	-0.489776426258
0	0	0	1	0	0	0	1	0	1	0	0	1	0.0777160441835	-0.486337421687
0	1	0	1	0	0	1	0	0	1	0	0	1	0.255556254682	-0.336334002147
1	0	0	1	0	0	1	0	1	0	0	0	1	0.414670818349	-0.492377827843
0	2	0	1	0	1	0	0	0	1	0	0	1	-0.454287238287	-0.211917743084
0	1	0	1	0	0	0	1	1	0	0	0	1	-0.854999498154	-0.290024221618
0	4	1	1	0	0	0	1	0	1	0	0	1	-1.66249922988	0.150673744179
0	0	0	1	0	0	0	1	0	1	0	0	1	-0.634772298591	-0.491371093484
